Player,MP-Standard Stats,Starts-Standard Stats,Min-Standard Stats,90s-Standard Stats,Gls-Standard Stats,Ast-Standard Stats,G+A-Standard Stats,G-PK-Standard Stats,PK-Standard Stats,PKatt-Standard Stats,CrdY-Standard Stats,CrdR-Standard Stats,xG-Standard Stats,npxG-Standard Stats,xAG-Standard Stats,npxG+xAG-Standard Stats,PrgC-Standard Stats,PrgP-Standard Stats,PrgR-Standard Stats,Gls.1-Standard Stats,Ast.1-Standard Stats,G+A.1-Standard Stats,G-PK.1-Standard Stats,G+A-PK-Standard Stats,xG.1-Standard Stats,xAG.1-Standard Stats,xG+xAG-Standard Stats,npxG.1-Standard Stats,npxG+xAG.1-Standard Stats,90s-Miscellaneous Stats,CrdY-Miscellaneous Stats,CrdR-Miscellaneous Stats,2CrdY-Miscellaneous Stats,Fls-Miscellaneous Stats,Fld-Miscellaneous Stats,Off-Miscellaneous Stats,Crs-Miscellaneous Stats,Int-Miscellaneous Stats,TklW-Miscellaneous Stats,PKwon-Miscellaneous Stats,PKcon-Miscellaneous Stats,OG-Miscellaneous Stats,Recov-Miscellaneous Stats,Won-Miscellaneous Stats,Lost-Miscellaneous Stats,Won%-Miscellaneous Stats,90s-Shooting,Gls-Shooting,Sh-Shooting,SoT-Shooting,SoT%-Shooting,Sh/90-Shooting,SoT/90-Shooting,G/Sh-Shooting,G/SoT-Shooting,Dist-Shooting,FK-Shooting,PK-Shooting,PKatt-Shooting,xG-Shooting,npxG-Shooting,npxG/Sh-Shooting,G-xG-Shooting,np:G-xG-Shooting,90s-Goal and Shot Creation,SCA-Goal and Shot Creation,SCA90-Goal and Shot Creation,PassLive-Goal and Shot Creation,PassDead-Goal and Shot Creation,TO-Goal and Shot Creation,Sh-Goal and Shot Creation,Fld-Goal and Shot Creation,Def-Goal and Shot Creation,GCA-Goal and Shot Creation,GCA90-Goal and Shot Creation,PassLive.1-Goal and Shot Creation,PassDead.1-Goal and Shot Creation,TO.1-Goal and Shot Creation,Sh.1-Goal and Shot Creation,Fld.1-Goal and Shot Creation,Def.1-Goal and Shot Creation,90s-Passing,Cmp-Passing,Att-Passing,Cmp%-Passing,TotDist-Passing,PrgDist-Passing,Cmp.1-Passing,Att.1-Passing,Cmp%.1-Passing,Cmp.2-Passing,Att.2-Passing,Cmp%.2-Passing,Cmp.3-Passing,Att.3-Passing,Cmp%.3-Passing,Ast-Passing,xAG-Passing,xA-Passing,A-xAG-Passing,KP-Passing,1/3-Passing,PPA-Passing,CrsPA-Passing,PrgP-Passing,90s-Pass Types,Att-Pass Types,Live-Pass Types,Dead-Pass Types,FK-Pass Types,TB-Pass Types,Sw-Pass Types,Crs-Pass Types,TI-Pass Types,CK-Pass Types,In-Pass Types,Out-Pass Types,Str-Pass Types,Cmp-Pass Types,Off-Pass Types,Blocks-Pass Types,MP-Playing Time,Min-Playing Time,Mn/MP-Playing Time,Min%-Playing Time,90s-Playing Time,Starts-Playing Time,Mn/Start-Playing Time,Compl-Playing Time,Subs-Playing Time,Mn/Sub-Playing Time,unSub-Playing Time,PPM-Playing Time,onG-Playing Time,onGA-Playing Time,+/--Playing Time,+/-90-Playing Time,On-Off-Playing Time,onxG-Playing Time,onxGA-Playing Time,xG+/--Playing Time,xG+/-90-Playing Time,On-Off.1-Playing Time,90s-Defensive Actions,Tkl-Defensive Actions,TklW-Defensive Actions,Def 3rd-Defensive Actions,Mid 3rd-Defensive Actions,Att 3rd-Defensive Actions,Tkl.1-Defensive Actions,Att-Defensive Actions,Tkl%-Defensive Actions,Lost-Defensive Actions,Blocks-Defensive Actions,Sh-Defensive Actions,Pass-Defensive Actions,Int-Defensive Actions,Tkl+Int-Defensive Actions,Clr-Defensive Actions,Err-Defensive Actions
Bruno Uvini,6.0,5.0,428.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,4.8,1,0,0,2,1,0,0,6,1,0.0,0.0,0,5.0,18.0,4.0,81.8,4.8,0,2,0,0.0,0.42,0.0,0.0,,8.9,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,4.8,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,170.0,199.0,85.4,3149.0,975.0,52.0,59.0,88.1,106.0,116.0,91.4,10.0,20.0,50.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,12.0,4.8,199.0,188.0,10.0,10.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,170.0,1.0,1.0,6.0,428.0,71.0,12.5,4.8,5.0,85.0,4.0,1.0,5.0,17,0.67,5.0,12.0,-7.0,-1.47,-1.47,3.8,10.0,-6.1,-1.29,-1.42,4.8,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,6.0,3.0,3.0,6,7,15.0,0.0
Jean Mota,16.0,4.0,416.0,4.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8,1.3,3.0,28.0,19.0,0.22,0.0,0.22,0.22,0.22,0.11,0.17,0.29,0.11,0.29,4.6,0,0,0,7,7,1,32,0,3,0.0,0.0,0,23.0,4.0,7.0,36.4,4.6,1,7,3,42.9,1.51,0.65,0.14,0.33,16.5,0.0,0,0,0.5,0.5,0.07,0.5,0.5,4.6,19.0,4.12,12.0,5.0,0.0,1.0,1.0,0.0,1.0,0.22,0.0,0.0,0.0,1.0,0.0,0.0,4.6,185.0,248.0,74.6,3239.0,1096.0,90.0,101.0,89.1,67.0,80.0,83.8,23.0,50.0,46.0,0,0.8,1.2,-0.8,9.0,19.0,7.0,4.0,28.0,4.6,248.0,212.0,34.0,13.0,1.0,0.0,32,2.0,19.0,7.0,6.0,0.0,185.0,2.0,6.0,16.0,416.0,26.0,12.2,4.6,4.0,55.0,0.0,12.0,16.0,19,1.06,6.0,10.0,-4.0,-0.87,-0.78,5.4,5.9,-0.5,-0.11,-0.07,4.6,5.0,3,2.0,3.0,0.0,4.0,8.0,50.0,4.0,1.0,1.0,0.0,0,5,7.0,0.0
Zeca,5.0,4.0,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.2,14.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,4.3,1,0,0,1,3,2,18,3,5,0.0,0.0,0,21.0,0.0,4.0,0.0,4.3,0,2,2,100.0,0.46,0.46,0.0,0.0,16.5,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,4.3,10.0,2.32,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,170.0,228.0,74.6,2646.0,1087.0,97.0,100.0,97.0,59.0,79.0,74.7,10.0,32.0,31.3,0,0.2,0.3,-0.2,4.0,11.0,6.0,4.0,17.0,4.3,228.0,185.0,43.0,7.0,0.0,1.0,18,36.0,0.0,0.0,0.0,0.0,170.0,0.0,8.0,5.0,388.0,78.0,11.3,4.3,4.0,86.0,3.0,1.0,45.0,0,0.2,5.0,11.0,-6.0,-1.39,-1.36,4.8,8.5,-3.7,-0.85,-0.9,4.3,10.0,5,5.0,3.0,2.0,3.0,8.0,37.5,5.0,4.0,3.0,1.0,3,13,8.0,0.0
Rodrigo Andrade,6.0,4.0,385.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,6.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.11,0.06,0.11,4.3,0,0,0,7,4,0,4,3,5,0.0,0.0,0,34.0,4.0,4.0,50.0,4.3,0,2,0,0.0,0.47,0.0,0.0,,21.0,0.0,0,0,0.3,0.3,0.13,-0.3,-0.3,4.3,8.0,1.87,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,148.0,181.0,81.8,2486.0,870.0,70.0,79.0,88.6,54.0,64.0,84.4,19.0,24.0,79.2,0,0.2,0.3,-0.2,3.0,13.0,0.0,0.0,15.0,4.3,181.0,165.0,13.0,10.0,0.0,0.0,4,0.0,3.0,1.0,2.0,0.0,148.0,3.0,3.0,6.0,385.0,64.0,11.3,4.3,4.0,81.0,2.0,2.0,31.0,1,0.67,5.0,9.0,-4.0,-0.94,-0.85,6.7,6.7,0.0,0.01,0.07,4.3,6.0,5,4.0,1.0,1.0,4.0,5.0,80.0,1.0,8.0,3.0,5.0,3,9,3.0,0.0
Dudu,5.0,4.0,296.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.1,0.1,0.1,0.1,4.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,3.3,4,1,1,6,5,0,2,2,6,0.0,0.0,0,31.0,1.0,4.0,20.0,3.3,0,1,0,0.0,0.3,0.0,0.0,,21.1,0.0,0,0,0.1,0.1,0.09,-0.1,-0.1,3.3,10.0,3.04,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,133.0,174.0,76.4,2330.0,1092.0,56.0,68.0,82.4,65.0,77.0,84.4,10.0,19.0,52.6,0,0.1,0.1,-0.1,3.0,27.0,3.0,0.0,30.0,3.3,174.0,165.0,9.0,6.0,0.0,0.0,2,3.0,0.0,0.0,0.0,0.0,133.0,0.0,4.0,5.0,296.0,59.0,8.7,3.3,4.0,73.0,2.0,1.0,3.0,0,0.0,2.0,9.0,-7.0,-2.13,-2.13,3.0,6.5,-3.5,-1.07,-1.12,3.3,12.0,6,6.0,6.0,0.0,2.0,9.0,22.2,7.0,7.0,0.0,7.0,2,14,1.0,0.0
Everaldo,15.0,3.0,421.0,4.7,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.1,1.1,0.1,1.2,18.0,17.0,37.0,0.43,0.0,0.43,0.43,0.43,0.22,0.02,0.25,0.22,0.25,4.7,3,0,0,15,15,0,22,2,4,0.0,0.0,0,14.0,0.0,3.0,0.0,4.7,2,9,4,44.4,1.92,0.86,0.22,0.5,17.3,0.0,0,0,1.1,1.1,0.12,0.9,0.9,4.7,4.0,0.85,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,124.0,162.0,76.5,2076.0,400.0,65.0,72.0,90.3,47.0,61.0,77.0,9.0,20.0,45.0,0,0.1,0.2,-0.1,2.0,3.0,3.0,0.0,17.0,4.7,162.0,147.0,14.0,1.0,0.0,3.0,22,3.0,10.0,6.0,2.0,0.0,124.0,1.0,3.0,15.0,421.0,28.0,12.3,4.7,3.0,50.0,0.0,12.0,23.0,5,1.63,7.0,6.0,1.0,0.21,0.45,4.2,4.7,-0.5,-0.12,-0.08,4.7,5.0,4,3.0,2.0,0.0,3.0,9.0,33.3,6.0,2.0,1.0,1.0,2,7,3.0,1.0
Reynaldo Cesar Moraes,5.0,3.0,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0,0,6,0,0,1,0,6,0.0,1.0,0,9.0,7.0,5.0,58.3,4.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,94.0,122.0,77.0,1730.0,642.0,29.0,32.0,90.6,57.0,67.0,85.1,6.0,16.0,37.5,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,4.0,122.0,116.0,6.0,6.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,94.0,0.0,3.0,5.0,356.0,71.0,10.4,4.0,3.0,84.0,2.0,2.0,53.0,12,0.0,3.0,10.0,-7.0,-1.77,-1.77,2.5,7.5,-4.9,-1.24,-1.33,4.0,10.0,6,6.0,4.0,0.0,3.0,6.0,50.0,3.0,9.0,5.0,4.0,0,10,22.0,0.0
Erick Castillo,9.0,1.0,274.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.8,5.0,2.0,18.0,0.33,0.0,0.33,0.33,0.33,0.24,0.01,0.25,0.24,0.25,3.0,0,0,0,3,2,2,4,0,0,0.0,0.0,0,5.0,5.0,8.0,38.5,3.0,1,3,1,33.3,0.99,0.33,0.33,1.0,11.3,0.0,0,0,0.7,0.7,0.24,0.3,0.3,3.0,3.0,0.99,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,50.0,74.0,512.0,118.0,17.0,22.0,77.3,16.0,19.0,84.2,1.0,2.0,50.0,0,0.0,0.1,0.0,1.0,2.0,0.0,0.0,2.0,3.0,50.0,47.0,2.0,0.0,0.0,0.0,4,0.0,1.0,0.0,1.0,0.0,37.0,1.0,1.0,9.0,274.0,30.0,8.0,3.0,1.0,90.0,1.0,8.0,23.0,2,1.56,4.0,6.0,-2.0,-0.66,-0.51,2.7,3.5,-0.8,-0.26,-0.23,3.0,2.0,0,2.0,0.0,0.0,2.0,4.0,50.0,2.0,4.0,0.0,4.0,0,2,4.0,0.0
José Hugo,27.0,0.0,632.0,7.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.5,1.5,0.9,2.4,34.0,17.0,75.0,0.14,0.28,0.43,0.14,0.43,0.22,0.12,0.34,0.22,0.34,7.0,3,0,0,12,16,1,39,6,11,0.0,0.0,0,39.0,10.0,18.0,35.7,7.0,1,13,4,30.8,1.85,0.57,0.08,0.25,18.7,0.0,0,0,1.5,1.5,0.12,-0.5,-0.5,7.0,27.0,3.84,14.0,1.0,2.0,3.0,6.0,1.0,4.0,0.57,2.0,0.0,1.0,0.0,0.0,1.0,7.0,133.0,202.0,65.8,2161.0,524.0,73.0,87.0,83.9,39.0,57.0,68.4,16.0,26.0,61.5,2,0.9,0.9,1.1,9.0,11.0,9.0,7.0,17.0,7.0,202.0,196.0,5.0,0.0,0.0,1.0,39,3.0,2.0,0.0,0.0,0.0,133.0,1.0,15.0,27.0,632.0,23.0,18.5,7.0,0.0,,0.0,27.0,23.0,9,1.44,11.0,9.0,2.0,0.28,0.58,12.3,8.2,4.0,0.58,0.76,7.0,14.0,11,5.0,7.0,2.0,7.0,12.0,58.3,5.0,7.0,0.0,7.0,6,20,5.0,0.0
Éverson,38.0,38.0,3412.0,37.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.9,7,1,0,2,6,0,0,0,1,0.0,1.0,0,58.0,10.0,0.0,100.0,37.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,37.9,4.0,0.11,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,37.9,968.0,1212.0,79.9,25004.0,17514.0,207.0,209.0,99.0,484.0,490.0,98.8,274.0,508.0,53.9,0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,37.9,1212.0,901.0,310.0,55.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,968.0,1.0,1.0,38.0,3412.0,90.0,74.3,37.9,38.0,90.0,37.0,0.0,,0,1.47,52.0,42.0,10.0,0.26,0.72,44.8,38.4,6.5,0.17,0.08,37.9,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1,15.0,1.0
Rodrigo Battaglia,39.0,39.0,3374.0,37.5,1.0,0.0,1.0,1.0,0.0,0.0,9.0,2.0,1.0,1.0,0.2,1.2,33.0,114.0,11.0,0.03,0.0,0.03,0.03,0.03,0.03,0.01,0.03,0.03,0.03,37.5,9,2,2,40,21,1,2,22,29,0.0,0.0,0,126.0,90.0,48.0,65.2,37.5,1,20,4,20.0,0.53,0.11,0.05,0.25,17.2,0.0,0,0,1.0,1.0,0.05,0.0,0.0,37.5,34.0,0.91,30.0,0.0,2.0,1.0,1.0,0.0,4.0,0.11,4.0,0.0,0.0,0.0,0.0,0.0,37.5,2172.0,2457.0,88.4,39798.0,12502.0,775.0,845.0,91.7,1218.0,1304.0,93.4,158.0,261.0,60.5,0,0.2,0.7,-0.2,9.0,118.0,5.0,1.0,114.0,37.5,2457.0,2337.0,117.0,111.0,0.0,8.0,2,4.0,0.0,0.0,0.0,0.0,2172.0,3.0,13.0,39.0,3374.0,87.0,73.5,37.5,39.0,87.0,34.0,0.0,,1,1.57,51.0,47.0,4.0,0.11,0.11,44.8,41.1,3.7,0.1,-0.19,37.5,54.0,29,32.0,21.0,1.0,32.0,51.0,62.7,19.0,41.0,24.0,17.0,22,76,160.0,2.0
Gustavo Scarpa,44.0,36.0,3159.0,35.1,7.0,8.0,15.0,5.0,2.0,2.0,8.0,1.0,5.1,3.5,5.9,9.4,115.0,185.0,325.0,0.2,0.23,0.43,0.14,0.37,0.14,0.17,0.31,0.1,0.27,35.1,8,1,1,23,59,7,325,22,30,0.0,0.0,0,153.0,24.0,34.0,41.4,35.1,7,83,26,31.3,2.36,0.74,0.06,0.19,26.1,10.0,2,2,5.1,3.5,0.04,1.9,1.5,35.1,143.0,4.08,86.0,33.0,2.0,12.0,8.0,2.0,14.0,0.4,8.0,4.0,0.0,2.0,0.0,0.0,35.1,1578.0,2099.0,75.2,32220.0,9111.0,653.0,720.0,90.7,604.0,755.0,80.0,299.0,519.0,57.6,8,5.9,7.9,2.1,68.0,119.0,65.0,32.0,185.0,35.1,2099.0,1742.0,348.0,54.0,3.0,59.0,325,173.0,121.0,43.0,48.0,9.0,1578.0,9.0,53.0,44.0,3159.0,72.0,68.8,35.1,36.0,83.0,17.0,8.0,19.0,2,1.56,48.0,43.0,5.0,0.14,0.21,43.7,37.5,6.2,0.18,0.09,35.1,48.0,30,20.0,22.0,6.0,23.0,42.0,54.8,19.0,18.0,6.0,12.0,22,70,44.0,1.0
Paulinho,38.0,34.0,3038.0,33.8,15.0,2.0,17.0,14.0,1.0,1.0,5.0,1.0,11.5,10.7,2.2,12.9,82.0,125.0,232.0,0.44,0.06,0.5,0.41,0.47,0.34,0.07,0.41,0.32,0.38,33.8,5,1,0,18,23,11,24,9,26,1.0,0.0,0,152.0,19.0,41.0,31.7,33.8,15,68,34,50.0,2.01,1.01,0.21,0.41,14.7,0.0,1,1,11.5,10.7,0.16,3.5,3.3,33.8,114.0,3.38,92.0,2.0,8.0,7.0,4.0,1.0,5.0,0.15,4.0,0.0,0.0,0.0,1.0,0.0,33.8,1107.0,1275.0,86.8,15768.0,3140.0,652.0,710.0,91.8,343.0,385.0,89.1,55.0,70.0,78.6,2,2.2,3.2,-0.2,39.0,79.0,26.0,5.0,125.0,33.8,1275.0,1242.0,29.0,2.0,3.0,3.0,24,13.0,7.0,0.0,0.0,0.0,1107.0,4.0,27.0,38.0,3038.0,80.0,66.2,33.8,34.0,85.0,14.0,4.0,37.0,1,1.55,48.0,37.0,11.0,0.33,0.73,40.4,33.9,6.5,0.19,0.13,33.8,43.0,26,12.0,21.0,10.0,9.0,25.0,36.0,16.0,22.0,5.0,17.0,9,52,22.0,0.0
Renzo Saravia,39.0,32.0,2865.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,1.1,1.5,55.0,188.0,84.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.01,0.05,31.8,5,0,0,50,34,2,65,35,60,0.0,1.0,0,192.0,36.0,35.0,50.7,31.8,0,15,2,13.3,0.47,0.06,0.0,0.0,25.3,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4,31.8,55.0,1.73,49.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8,1787.0,2113.0,84.6,29928.0,10987.0,847.0,905.0,93.6,781.0,873.0,89.5,122.0,245.0,49.8,0,1.1,1.6,-1.1,24.0,194.0,20.0,15.0,188.0,31.8,2113.0,1918.0,190.0,36.0,0.0,7.0,65,153.0,1.0,0.0,0.0,0.0,1787.0,5.0,39.0,39.0,2865.0,73.0,62.4,31.8,32.0,84.0,25.0,7.0,25.0,3,1.46,38.0,38.0,0.0,0.0,-0.21,33.9,34.8,-0.9,-0.03,-0.47,31.8,107.0,60,63.0,31.0,13.0,58.0,111.0,52.3,53.0,43.0,12.0,31.0,35,142,71.0,1.0
Hulk,35.0,33.0,2831.0,31.5,11.0,10.0,21.0,7.0,4.0,6.0,8.0,1.0,12.8,8.1,6.1,14.2,61.0,90.0,233.0,0.35,0.32,0.67,0.22,0.54,0.41,0.19,0.6,0.26,0.45,31.5,8,1,1,36,90,15,66,1,8,1.0,0.0,0,70.0,33.0,46.0,41.8,31.5,11,108,31,28.7,3.43,0.99,0.06,0.23,26.6,34.0,4,6,12.8,8.1,0.08,-1.8,-1.1,31.5,134.0,4.26,68.0,15.0,12.0,17.0,21.0,1.0,20.0,0.64,8.0,2.0,4.0,5.0,1.0,0.0,31.5,727.0,970.0,74.9,11168.0,2422.0,409.0,498.0,82.1,219.0,274.0,79.9,58.0,106.0,54.7,10,6.1,6.1,3.9,50.0,57.0,34.0,5.0,90.0,31.5,970.0,844.0,123.0,32.0,9.0,13.0,66,17.0,23.0,3.0,10.0,1.0,727.0,3.0,25.0,35.0,2831.0,81.0,61.7,31.5,33.0,85.0,21.0,2.0,19.0,0,1.57,42.0,36.0,6.0,0.19,0.29,36.5,34.5,2.0,0.06,-0.23,31.5,16.0,8,2.0,7.0,7.0,7.0,20.0,35.0,13.0,17.0,2.0,15.0,1,17,23.0,0.0
Alan Franco,34.0,29.0,2593.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.1,1.1,2.4,3.6,16.0,103.0,63.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.04,0.12,28.8,9,0,0,54,24,0,13,33,27,0.0,0.0,0,114.0,40.0,24.0,62.5,28.8,0,17,2,11.8,0.59,0.07,0.0,0.0,20.5,0.0,0,0,1.1,1.1,0.07,-1.1,-1.1,28.8,57.0,1.98,49.0,3.0,0.0,2.0,2.0,1.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,28.8,1112.0,1282.0,86.7,17043.0,4128.0,588.0,643.0,91.4,439.0,486.0,90.3,52.0,83.0,62.7,0,2.4,2.4,-2.4,20.0,84.0,15.0,1.0,103.0,28.8,1282.0,1252.0,24.0,14.0,3.0,6.0,13,5.0,5.0,0.0,2.0,0.0,1112.0,6.0,18.0,34.0,2593.0,76.0,56.5,28.8,29.0,86.0,24.0,5.0,21.0,1,1.65,44.0,28.0,16.0,0.56,1.1,37.9,27.9,10.0,0.35,0.45,28.8,43.0,27,16.0,19.0,8.0,21.0,34.0,61.8,13.0,23.0,5.0,18.0,33,76,22.0,0.0
Bruno Fuchs,32.0,29.0,2541.0,28.2,1.0,1.0,2.0,1.0,0.0,0.0,10.0,1.0,1.1,1.1,2.1,3.2,33.0,189.0,12.0,0.04,0.04,0.07,0.04,0.07,0.04,0.07,0.11,0.04,0.11,28.2,10,1,1,29,21,0,16,39,33,0.0,1.0,0,130.0,43.0,27.0,61.4,28.2,1,7,4,57.1,0.25,0.14,0.14,0.25,14.2,0.0,0,0,1.1,1.1,0.15,-0.1,-0.1,28.2,45.0,1.59,42.0,0.0,1.0,1.0,0.0,1.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,28.2,1777.0,2006.0,88.6,34805.0,14260.0,615.0,658.0,93.5,918.0,1001.0,91.7,225.0,312.0,72.1,1,2.1,1.9,-1.1,19.0,191.0,27.0,7.0,189.0,28.2,2006.0,1919.0,82.0,48.0,2.0,16.0,16,34.0,0.0,0.0,0.0,0.0,1777.0,5.0,6.0,32.0,2541.0,79.0,55.4,28.2,29.0,85.0,23.0,3.0,23.0,12,1.29,37.0,43.0,-6.0,-0.21,-0.65,34.8,33.2,1.6,0.06,-0.21,28.2,51.0,33,30.0,15.0,6.0,36.0,49.0,73.5,13.0,41.0,21.0,20.0,39,90,106.0,1.0
Guilherme Arana,30.0,26.0,2452.0,27.2,2.0,4.0,6.0,2.0,0.0,0.0,7.0,0.0,1.0,1.0,2.9,3.8,63.0,146.0,219.0,0.07,0.15,0.22,0.07,0.22,0.04,0.11,0.14,0.04,0.14,27.2,7,0,0,28,23,5,114,29,28,0.0,0.0,0,131.0,27.0,26.0,50.9,27.2,2,33,10,30.3,1.21,0.37,0.06,0.2,24.6,0.0,0,0,1.0,1.0,0.03,1.0,1.0,27.2,82.0,3.01,71.0,2.0,0.0,4.0,2.0,3.0,10.0,0.37,9.0,0.0,0.0,1.0,0.0,0.0,27.2,1621.0,1934.0,83.8,26187.0,7493.0,858.0,932.0,92.1,640.0,743.0,86.1,104.0,180.0,57.8,4,2.9,2.9,1.1,35.0,117.0,38.0,19.0,146.0,27.2,1934.0,1696.0,225.0,26.0,1.0,17.0,114,195.0,4.0,0.0,4.0,0.0,1621.0,13.0,35.0,30.0,2452.0,82.0,53.4,27.2,26.0,88.0,23.0,4.0,42.0,3,1.67,41.0,27.0,14.0,0.51,0.93,34.3,24.9,9.4,0.35,0.42,27.2,36.0,28,20.0,11.0,5.0,18.0,30.0,60.0,12.0,24.0,6.0,18.0,29,65,44.0,0.0
Otávio,34.0,27.0,2315.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.3,0.7,20.0,112.0,19.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,25.7,4,0,0,31,19,0,7,27,40,0.0,0.0,0,130.0,27.0,31.0,46.6,25.7,0,16,3,18.8,0.62,0.12,0.0,0.0,30.5,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4,25.7,37.0,1.44,27.0,1.0,1.0,5.0,1.0,2.0,2.0,0.08,1.0,1.0,0.0,0.0,0.0,0.0,25.7,1301.0,1452.0,89.6,22903.0,5551.0,564.0,601.0,93.8,592.0,650.0,91.1,118.0,152.0,77.6,0,0.3,0.8,-0.3,9.0,133.0,5.0,1.0,112.0,25.7,1452.0,1417.0,34.0,32.0,1.0,7.0,7,1.0,0.0,0.0,0.0,0.0,1301.0,1.0,14.0,34.0,2315.0,68.0,50.4,25.7,27.0,80.0,18.0,7.0,22.0,4,1.5,31.0,33.0,-2.0,-0.08,-0.32,29.6,27.5,2.1,0.08,-0.13,25.7,70.0,40,33.0,31.0,6.0,28.0,55.0,50.9,27.0,37.0,14.0,23.0,27,97,36.0,0.0
